交易標的,土地移轉總面積平方公尺,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位移轉總面積平方公尺,車位總價元,主建物面積,附屬建物面積,陽台面積,電梯,真實單價(元/平方公尺),交易年,交易月,建築完成年,屋齡,移轉層次_num,總樓層數_num,是否為頂樓,土地筆數,建物棟數,車位數,鄉鎮市區_中區,鄉鎮市區_北區,鄉鎮市區_北屯區,鄉鎮市區_南區,鄉鎮市區_南屯區,鄉鎮市區_后里區,鄉鎮市區_外埔區,鄉鎮市區_大安區,鄉鎮市區_大甲區,鄉鎮市區_大肚區,鄉鎮市區_大里區,鄉鎮市區_大雅區,鄉鎮市區_太平區,鄉鎮市區_新社區,鄉鎮市區_東勢區,鄉鎮市區_東區,鄉鎮市區_梧棲區,鄉鎮市區_沙鹿區,鄉鎮市區_清水區,鄉鎮市區_潭子區,鄉鎮市區_烏日區,鄉鎮市區_石岡區,鄉鎮市區_神岡區,鄉鎮市區_西區,鄉鎮市區_西屯區,鄉鎮市區_豐原區,鄉鎮市區_霧峰區,鄉鎮市區_龍井區,建物型態_住宅大樓(11層含以上有電梯),建物型態_公寓(5樓含以下無電梯),建物型態_其他,建物型態_華廈(10層含以下有電梯),建物型態_透天厝,主要用途_住商用,主要用途_住家用,主要用途_其他,主要用途_商業用,主要用途_辦公用,主要建材_其他,主要建材_加強磚造,主要建材_鋼筋混凝土造,主要建材_鋼骨鋼筋混凝土造、鋼筋混凝土造,車位類別_一樓平面,車位類別_其他,車位類別_升降平面,車位類別_升降機械,車位類別_坡道平面,車位類別_坡道機械,車位類別_塔式車位,使用分區_一般農業區,使用分區_住,使用分區_其他,使用分區_商,使用分區_山坡地保育區,使用分區_工,使用分區_工業區,使用分區_特定農業區,使用分區_農,使用分區_都市：其他:住宅區,使用分區_都市：其他:保護區,使用分區_都市：其他:第一之二種住宅區,使用分區_都市：其他:第一種新市政中心專用區,使用分區_都市：其他:第三種新市政中心專用區,使用分區_都市：其他:第三種遊憩區,使用分區_都市：其他:第二種住宅區,使用分區_都市：其他:第二種創新研發專用區,使用分區_都市：其他:第五種新市政中心專用區,使用分區_都市：其他:第八種新市政中心專用區,使用分區_都市：其他:第六種新市政中心專用區,使用分區_都市：其他:第四種新市政中心專用區,使用分區_都市：其他:道路用地,使用分區_都市：其他:風景區,使用分區_鄉村區,Income_Median,Higher_Ed_Ratio,id,Address,Response_Address,Response_X,Response_Y
房地(土地+建物),18.96,85.21000000000001,4,0,4,1,1,5780000.0,67832,0.0,0.0,68.14,0.0,7.7,1,67832.41403591128,2025,9,1981.0,44.0,5.0,6.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393,49.24978725310162,1468.0,東光路１４６號,找不到指定的門牌地址。,,
房地(土地+建物)+車位,53.56,375.32,0,6,0,1,1,25000000.0,66608,0.0,0.0,207.88,0.0,19.32,1,66609.82628157306,2025,9,1990.0,35.0,11.0,14.0,0,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468,56.37375658101005,1589.0,臺中市北屯區三光巷５２弄２４號,找不到指定的門牌地址。,,
房地(土地+建物)+車位,24.16,188.02,3,2,2,1,1,17500000.0,122332,72.76,3400000.0,68.19,0.0,6.44,1,122332.11868818328,2025,9,2025.0,0.0,6.0,11.0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468,56.37375658101005,1617.0,臺中市西區精誠２０街１２號,找不到指定的門牌地址。,,
房地(土地+建物)+車位,23.97,193.73,1,3,2,1,1,18800000.0,97042,29.84,0.0,129.88,0.0,1.27,1,114711.0867044969,2025,9,2012.0,13.0,0.0,15.0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468,59.39573524332382,1658.0,臺中市太平區大源二十一街３６號,找不到指定的門牌地址。,,
房地(土地+建物)+車位,27.76,151.59,3,2,2,1,1,18100000.0,119401,28.97,0.0,72.22,1.44,9.17,1,147610.50399608546,2025,8,2021.0,4.0,10.0,14.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410,46.523413127178095,1744.0,臺中市西屯區何庴街６７巷３０號,找不到指定的門牌地址。,,
房地(土地+建物)+車位,23.85,163.97,0,0,0,0,1,25500000.0,155516,46.04,0.0,89.57,0.0,0.0,1,216229.96692953445,2025,8,2021.0,4.0,0.0,11.0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468,56.37375658101005,1831.0,臺中市南區樹義五巷１３７弄７７號,找不到指定的門牌地址。,,
房地(土地+建物),62.0,69.95,3,1,2,1,0,3200000.0,45747,0.0,0.0,69.95,0.0,0.0,0,45746.962115797,2025,8,1969.0,56.0,2.0,2.0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468,56.37375658101005,1912.0,臺中市東區旱溪西路一段６８號,找不到指定的門牌地址。,,
房地(土地+建物),101.0,245.24,6,1,4,1,0,29580000.0,120617,0.0,0.0,245.24,0.0,0.0,0,120616.53890066872,2025,8,1980.0,45.0,4.0,4.0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468,56.37375658101005,1954.0,臺中市東區東福路１５０號,找不到指定的門牌地址。,,
房地(土地+建物),113.0,148.08,4,2,2,1,0,20900000.0,141140,0.0,0.0,148.08,0.0,0.0,0,141139.924365208,2025,8,1975.0,50.0,2.0,2.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380,46.56090222399899,2141.0,臺中市西區三民市場２巷３弄７號,找不到指定的門牌地址。,,
房地(土地+建物),70.33,132.98,5,2,2,1,0,6200000.0,46624,0.0,0.0,132.98,0.0,0.0,0,46623.55241389683,2025,8,1971.0,54.0,3.0,3.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386,41.30192708265101,2142.0,臺中市西區三民市場２巷４弄８號,找不到指定的門牌地址。,,
房地(土地+建物),79.91,111.94,4,2,3,1,1,11100000.0,99160,0.0,0.0,107.49,1.14,3.31,0,99160.2644273718,2025,8,1995.0,30.0,3.0,3.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,357,41.4065090306256,2206.0,臺中市西區大墩１２街２８號,找不到指定的門牌地址。,,
房地(土地+建物),88.69,241.54,3,3,4,1,0,21470000.0,88888,0.0,0.0,219.32,0.0,22.22,0,88887.96886644035,2025,8,2021.0,4.0,4.0,4.0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378,44.52387335060912,2249.0,臺中市東區十甲巷３０弄３４號,找不到指定的門牌地址。,,
